search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
NFL highlights,/watch?v=jFX07LCTrSM&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Los Angeles Rams vs Chicago Bears Game Highlights | 2025 NFL Season Divisional Round,3.3M,3 days,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:22:52.466628
NFL highlights,/watch?v=FI8w2O3k59I&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Houston Texans vs New England Patriots Game Highlights | 2025 NFL Season Divisional Round,2.5M,3 days,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:22:52.468357
NFL highlights,/watch?v=pZG7VvMgR04&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,New England Patriots vs Denver Broncos | AFC Championship Game Preview,172K,1 day,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:22:52.470393
NFL highlights,/watch?v=_xh2Y2-yRhE&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Los Angeles Rams vs Seattle Seahawks | NFC Championship Game Preview,240K,1 day,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:22:52.472068
NFL highlights,/watch?v=SPxxhRp9QZM&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@anhbabao84,BÁNH MÌ TV,Rams Vs. Bears | NFC Divisional Round | Full 3rd - 4th Highlights | NFL Playoffs 2026,49K,3 days,NFLHIGHLIGHTSTODAY #NFLTODAY Rams Vs. Bears | NFC Divisional Round | Full 3rd - 4th Highlights | NFL Playoffs 2026.,2026-01-22 05:22:52.473725
NFL highlights,/watch?v=QXxCbN48UE8&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,San Francisco 49ers vs. Seattle Seahawks Game Highlights | NFL 2025 Season Divisional,3.8M,4 days,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:22:52.475445
NFL highlights,/shorts/u8LDxwc9qHg,/@DimesVault,Dimes Vault,Julian Edelman Calls Out Jimmy Garoppolo 😳 #shorts #julianedelman #nflfootball #nflhighlights,535K,22 hours,,2026-01-22 05:22:52.476688
NFL highlights,/watch?v=VqXRI7Mag3E&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Buffalo Bills vs. Denver Broncos Game Highlights | NFL 2025 Season Divisional,3.4M,4 days,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:22:52.478550
NFL highlights,/watch?v=tnX85oZOV40&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Green Bay Packers vs. Chicago Bears Game Highlights | NFL 2025 Season Wild Card,5.5M,11 days,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:22:52.480389
NFL highlights,/watch?v=EyZuZ0pmZTA&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Top Plays of the 2025 Regular Season,275K,2 weeks,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:22:52.482185
NFL highlights,/watch?v=jNAb6qRW_lw&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@BleacherReport,Bleacher Report,Indiana's Improbable Undefeated Championship Season | 2025 Highlights,3.3K,3 hours,The top highlights from Fernando Mendoza and the Indiana Hoosiers 16-0 2025 championship season. Subscribe: ...,2026-01-22 05:22:52.483716
NFL highlights,/watch?v=YPS3tHwvwR8&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,San Francisco 49ers vs Philadelphia Eagles Game Highlights | 2025 NFL Season Wild Card Round,3.9M,10 days,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:22:52.485309
NFL highlights,/shorts/9L7Po5BHc7o,/@ACCDigitalNetwork,ACC Digital Network,Coaches went in their bags for these plays 🪄 #accfootball #collegefootball #football #highlights,2.5M,4 months,"SUBSCRIBE: http://bit.ly/Oqg3iE The ACC Digital Network (theACCDN) is a project of Raycom Sports, a long-time television ...",2026-01-22 05:22:52.486631
NFL highlights,/watch?v=OZrEboMLou4&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Buffalo Bills vs Jacksonville Jaguars Game Highlights | 2025 NFL Season Wild Card Round,2.5M,10 days,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:22:52.488237
NFL highlights,/watch?v=1wkD5ZP_Ev0&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@anhbabao84,BÁNH MÌ TV,Texans Vs. Patriots | AFC Divisional Round | Full Game Highlights | NFL Playoffs 2026,176K,3 days,NFLHIGHLIGHTSTODAY #NFLTODAY Texans Vs. Patriots | AFC Divisional Round | Full Game Highlights | NFL Playoffs 2026.,2026-01-22 05:22:52.489747
NFL highlights,/watch?v=Rh9xD2eoJcY&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Los Angeles Rams vs. Carolina Panthers Game Highlights | NFL 2025 Season Wild Card,2.5M,11 days,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:22:52.493654
NFL highlights,/shorts/UU1nIeeiea4,/@nflmatchuphighlights,NFL Matchup Highlights,EVERY PLAY from Travis Hunter’s NFL Debut 🔥 Jaguars Vs Steelers 2025 highlights,865K,5 months,travishunter #jaguars #nfl #jacksonvillejaguars.,2026-01-22 05:22:52.494910
NFL highlights,/watch?v=o_VVz5GR1ko&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Houston Texans vs Pittsburgh Steelers Game Highlights | 2025 NFL Season Wild Card Round,3.2M,9 days,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:22:52.498982
NFL highlights,/shorts/nUjxMKZb9jA,/@tylertntt,Tylertsports,Watching Jarrett Stidham Highlights Until I’m Impressed #nfl #nfltrending #nflviral #nflfootball,176K,6 hours,,2026-01-22 05:23:00.158139
