search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
NFL playoffs,/watch?v=p4vecybGlLY&pp=ygUMTkZMIHBsYXlvZmZz,/@CBSSports,CBS Sports,Biggest Storylines to Watch Heading Into Conference Championship Sunday,7.4K,11 hours,Aditi Kinkhabwala joins CBS Sports HQ to talk about the biggest storylines heading into the NFL playoff conference championship ...,2026-01-22 05:21:30.727640
NFL playoffs,/watch?v=jFX07LCTrSM&pp=ygUMTkZMIHBsYXlvZmZz,/@NFL,NFL,Los Angeles Rams vs Chicago Bears Game Highlights | 2025 NFL Season Divisional Round,3.3M,3 days,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:21:30.730207
NFL playoffs,/watch?v=FI8w2O3k59I&pp=ygUMTkZMIHBsYXlvZmZz,/@NFL,NFL,Houston Texans vs New England Patriots Game Highlights | 2025 NFL Season Divisional Round,2.5M,3 days,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:21:30.732258
NFL playoffs,/watch?v=QXxCbN48UE8&pp=ygUMTkZMIHBsYXlvZmZz0gcJCYcKAYcqIYzv,/@NFL,NFL,San Francisco 49ers vs. Seattle Seahawks Game Highlights | NFL 2025 Season Divisional,3.8M,4 days,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:21:30.734689
NFL playoffs,/watch?v=_xh2Y2-yRhE&pp=ygUMTkZMIHBsYXlvZmZz,/@NFL,NFL,Los Angeles Rams vs Seattle Seahawks | NFC Championship Game Preview,240K,1 day,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:21:30.738403
NFL playoffs,/watch?v=VqXRI7Mag3E&pp=ygUMTkZMIHBsYXlvZmZz0gcJCYcKAYcqIYzv,/@NFL,NFL,Buffalo Bills vs. Denver Broncos Game Highlights | NFL 2025 Season Divisional,3.4M,4 days,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:21:30.740803
NFL playoffs,/watch?v=tnX85oZOV40&pp=ygUMTkZMIHBsYXlvZmZz,/@NFL,NFL,Green Bay Packers vs. Chicago Bears Game Highlights | NFL 2025 Season Wild Card,5.5M,11 days,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:21:30.742355
NFL playoffs,/shorts/JpBULDiCqTo,/@NFL,NFL,Best throw of Brady’s career!? 🤔,112K,7 hours,,2026-01-22 05:21:30.743613
NFL playoffs,/watch?v=nyOXU3KfSMA&pp=ygUMTkZMIHBsYXlvZmZz,/@NFL,NFL,Every Recap from Wild Card Weekend | 2025 NFL Season Playoffs,159K,8 days,00:00 - Rams vs Panthers 13:32 - Packers vs Bears 32:23 - Bills vs Jags 49:36- 49ers vs Eagles 1:05:51 - Chargers vs Patriots ...,2026-01-22 05:21:30.746392
NFL playoffs,/watch?v=YPS3tHwvwR8&pp=ygUMTkZMIHBsYXlvZmZz,/@NFL,NFL,San Francisco 49ers vs Philadelphia Eagles Game Highlights | 2025 NFL Season Wild Card Round,3.9M,10 days,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:21:30.748011
